suicides/100k pop,"Unemployment, total (% of total labor force) ",Average annual working hours per worker,Gini index (World Bank estimate),"Health expenditure, total (% of GDP)",Life satisfaction in Cantril Ladder (World Happiness Report 2021),UIS: Percentage of population age 25+ with at least completed post-secondary education (ISCED 4 or higher). Total,Single (never married),Married,Widowed and not remarried,Married but separated,Total surveyed for marital
9.95,16.52,,,6.37953469,,,,,,,
7.85,16.52,,,6.37953469,,,,,,,
6.84,16.52,,,6.37953469,,,,,,,
6.63,16.52,,,6.37953469,,,,,,,
5.89,16.52,,,6.37953469,,,,,,,
4.95,16.52,,,6.37953469,,,,,,,
4.83,16.52,,,6.37953469,,,,,,,
4.34,16.52,,,6.37953469,,,,,,,
1.47,16.52,,,6.37953469,,,,,,,
1.05,16.52,,,6.37953469,,,,,,,
0.33,16.52,,,6.37953469,,,,,,,
0,16.4,,30.6,6.11631076,,,,,,,
0,16.4,,30.6,6.11631076,,,,,,,
0,16.4,,30.6,6.11631076,,,,,,,
0,16.4,,30.6,6.11631076,,,,,,,
0,16.4,,30.6,6.11631076,,,,,,,
0,16.4,,30.6,6.11631076,,,,,,,
0,16.4,,30.6,6.11631076,,,,,,,
0,16.4,,30.6,6.11631076,,,,,,,
0,16.4,,30.6,6.11631076,,,,,,,
0,16.4,,30.6,6.11631076,,,,,,,
0,16.4,,30.6,6.11631076,,,,,,,
0,16.4,,30.6,6.11631076,,,,,,,
0,16.17,,,5.86129625,,,,,,,
0,16.17,,,5.86129625,,,,,,,
0,16.17,,,5.86129625,,,,,,,
0,16.17,,,5.86129625,,,,,,,
0,16.17,,,5.86129625,,,,,,,
0,16.17,,,5.86129625,,,,,,,
0,16.17,,,5.86129625,,,,,,,
0,16.17,,,5.86129625,,,,,,,
0,16.17,,,5.86129625,,,,,,,
0,16.17,,,5.86129625,,,,,,,
0,16.17,,,5.86129625,,,,,,,
0,16.17,,,5.86129625,,,,,,,
18.88,15.97,,,6.10393525,4.634,,,,,,
7.66,15.97,,,6.10393525,4.634,,,,,,
6.25,15.97,,,6.10393525,4.634,,,,,,
5.23,15.97,,,6.10393525,4.634,,,,,,
5.22,15.97,,,6.10393525,4.634,,,,,,
4.63,15.97,,,6.10393525,4.634,,,,,,
4.51,15.97,,,6.10393525,4.634,,,,,,
4.36,15.97,,,6.10393525,4.634,,,,,,
4.07,15.97,,,6.10393525,4.634,,,,,,
3.57,15.97,,,6.10393525,4.634,,,,,,
1.47,15.97,,,6.10393525,4.634,,,,,,
0,15.97,,,6.10393525,4.634,,,,,,
12.15,13.06,,30,5.86941616,,9.816240311,,,,,
9.81,13.06,,30,5.86941616,,9.816240311,,,,,
9.18,13.06,,30,5.86941616,,9.816240311,,,,,
8.42,13.06,,30,5.86941616,,9.816240311,,,,,
7.24,13.06,,30,5.86941616,,9.816240311,,,,,
4.93,13.06,,30,5.86941616,,9.816240311,,,,,
4.82,13.06,,30,5.86941616,,9.816240311,,,,,
4.49,13.06,,30,5.86941616,,9.816240311,,,,,
3.84,13.06,,30,5.86941616,,9.816240311,,,,,
3.09,13.06,,30,5.86941616,,9.816240311,,,,,
2.67,13.06,,30,5.86941616,,9.816240311,,,,,
0.41,13.06,,30,5.86941616,,9.816240311,,,,,
0,13.67,,,5.79133946,5.485,,,,,,
0,13.67,,,5.79133946,5.485,,,,,,
0,13.67,,,5.79133946,5.485,,,,,,
0,13.67,,,5.79133946,5.485,,,,,,
0,13.67,,,5.79133946,5.485,,,,,,
0,13.67,,,5.79133946,5.485,,,,,,
0,13.67,,,5.79133946,5.485,,,,,,
0,13.67,,,5.79133946,5.485,,,,,,
0,13.67,,,5.79133946,5.485,,,,,,
0,13.67,,,5.79133946,5.485,,,,,,
0,13.67,,,5.79133946,5.485,,,,,,
0,13.67,,,5.79133946,5.485,,,,,,
8.27,14.09,,,5.33503501,5.269,,,,,,
5.38,14.09,,,5.33503501,5.269,,,,,,
5.01,14.09,,,5.33503501,5.269,,,,,,
3.94,14.09,,,5.33503501,5.269,,,,,,
3.58,14.09,,,5.33503501,5.269,,,,,,
3.27,14.09,,,5.33503501,5.269,,,,,,
3.1,14.09,,,5.33503501,5.269,,,,,,
3.04,14.09,,,5.33503501,5.269,,,,,,
2.9,14.09,,,5.33503501,5.269,,,,,,
2.28,14.09,,,5.33503501,5.269,,,,,,
0.89,14.09,,,5.33503501,5.269,,,,,,
0,14.09,,,5.33503501,5.269,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
17.24,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
15,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,4.1436129,,,,,,,
0,,,,4.1436129,,,,,,,
0,,,,4.1436129,,,,,,,
0,,,,4.1436129,,,,,,,
0,,,,4.1436129,,,,,,,
0,,,,4.1436129,,,,,,,
0,,,,4.1436129,,,,,,,
0,,,,4.1436129,,,,,,,
0,,,,4.1436129,,,,,,,
0,,,,4.1436129,,,,,,,
0,,,,4.1436129,,,,,,,
0,,,,4.1436129,,,,,,,
0,,,,3.92020732,,,,,,,
0,,,,3.92020732,,,,,,,
0,,,,3.92020732,,,,,,,
0,,,,3.92020732,,,,,,,
0,,,,3.92020732,,,,,,,
0,,,,3.92020732,,,,,,,
0,,,,3.92020732,,,,,,,
0,,,,3.92020732,,,,,,,
0,,,,3.92020732,,,,,,,
0,,,,3.92020732,,,,,,,
0,,,,3.92020732,,,,,,,
0,,,,3.92020732,,,,,,,
0,,,,3.96104693,,,,,,,
0,,,,3.96104693,,,,,,,
0,,,,3.96104693,,,,,,,
0,,,,3.96104693,,,,,,,
0,,,,3.96104693,,,,,,,
0,,,,3.96104693,,,,,,,
0,,,,3.96104693,,,,,,,
0,,,,3.96104693,,,,,,,
0,,,,3.96104693,,,,,,,
0,,,,3.96104693,,,,,,,
0,,,,3.96104693,,,,,,,
0,,,,3.96104693,,,,,,,
30,,,,4.12504853,,,,,,,
9.97,,,,4.12504853,,,,,,,
0,,,,4.12504853,,,,,,,
0,,,,4.12504853,,,,,,,
0,,,,4.12504853,,,,,,,
0,,,,4.12504853,,,,,,,
0,,,,4.12504853,,,,,,,
0,,,,4.12504853,,,,,,,
0,,,,4.12504853,,,,,,,
0,,,,4.12504853,,,,,,,
0,,,,4.12504853,,,,,,,
0,,,,4.12504853,,,,,,,
19.45,,,,4.48439049,,,2612,4433,33,60,9080
0,,,,4.48439049,,,20714,8775,1531,173,36373
0,,,,4.48439049,,,3759,2039,14,13,7325
0,,,,4.48439049,,,4174,4318,182,101,10738
0,,,,4.48439049,,,,,,,
0,,,,4.48439049,,,1205,1624,718,47,3937
0,,,,4.48439049,,,458,250,608,8,1372
0,,,,4.48439049,,,17524,8487,394,128,31182
0,,,,4.48439049,,,3243,1452,1,17,6045
0,,,,4.48439049,,,,,,,
0,,,,4.48439049,,,648,1935,134,37,3251
0,,,,4.48439049,,,202,481,225,13,995
0,,,,4.41378705,,,,,,,
0,,,,4.41378705,,,,,,,
0,,,,4.41378705,,,,,,,
0,,,,4.41378705,,,,,,,
0,,,,4.41378705,,,,,,,
0,,,,4.41378705,,,,,,,
0,,,,4.41378705,,,,,,,
0,,,,4.41378705,,,,,,,
0,,,,4.41378705,,,,,,,
0,,,,4.41378705,,,,,,,
0,,,,4.41378705,,,,,,,
0,,,,4.41378705,,,,,,,
27.82,,,,4.53434099,,,,,,,
0,,,,4.53434099,,,,,,,
0,,,,4.53434099,,,,,,,
0,,,,4.53434099,,,,,,,
0,,,,4.53434099,,,,,,,
0,,,,4.53434099,,,,,,,
0,,,,4.53434099,,,,,,,
0,,,,4.53434099,,,,,,,
0,,,,4.53434099,,,,,,,
0,,,,4.53434099,,,,,,,
0,,,,4.53434099,,,,,,,
0,,,,4.53434099,,,,,,,
27.29,,,,4.20698542,,,,,,,
8.77,,,,4.20698542,,,,,,,
0,,,,4.20698542,,,,,,,
0,,,,4.20698542,,,,,,,
0,,,,4.20698542,,,,,,,
0,,,,4.20698542,,,,,,,
0,,,,4.20698542,,,,,,,
0,,,,4.20698542,,,,,,,
0,,,,4.20698542,,,,,,,
0,,,,4.20698542,,,,,,,
0,,,,4.20698542,,,,,,,
0,,,,4.20698542,,,,,,,
0,,,,4.41010035,,,,,,,
0,,,,4.41010035,,,,,,,
0,,,,4.41010035,,,,,,,
0,,,,4.41010035,,,,,,,
0,,,,4.41010035,,,,,,,
0,,,,4.41010035,,,,,,,
0,,,,4.41010035,,,,,,,
0,,,,4.41010035,,,,,,,
0,,,,4.41010035,,,,,,,
0,,,,4.41010035,,,,,,,
0,,,,4.41010035,,,,,,,
0,,,,4.41010035,,,,,,,
0,,,,4.34002161,,,,,,,
0,,,,4.34002161,,,,,,,
0,,,,4.34002161,,,,,,,
0,,,,4.34002161,,,,,,,
0,,,,4.34002161,,,,,,,
0,,,,4.34002161,,,,,,,
0,,,,4.34002161,,,,,,,
0,,,,4.34002161,,,,,,,
0,,,,4.34002161,,,,,,,
0,,,,4.34002161,,,,,,,
0,,,,4.34002161,,,,,,,
0,,,,4.34002161,,,,,,,
7.98,,,,4.26972324,,,,,,,
0,,,,4.26972324,,,,,,,
0,,,,4.26972324,,,,,,,
0,,,,4.26972324,,,,,,,
0,,,,4.26972324,,,,,,,
0,,,,4.26972324,,,,,,,
0,,,,4.26972324,,,,,,,
0,,,,4.26972324,,,,,,,
0,,,,4.26972324,,,,,,,
0,,,,4.26972324,,,,,,,
0,,,,4.26972324,,,,,,,
0,,,,4.26972324,,,,,,,
0,,,,4.69201433,,,,,,,
0,,,,4.69201433,,,,,,,
0,,,,4.69201433,,,,,,,
0,,,,4.69201433,,,,,,,
0,,,,4.69201433,,,,,,,
0,,,,4.69201433,,,,,,,
0,,,,4.69201433,,,,,,,
0,,,,4.69201433,,,,,,,
0,,,,4.69201433,,,,,,,
0,,,,4.69201433,,,,,,,
0,,,,4.69201433,,,,,,,
0,,,,4.69201433,,,,,,,
0,,,,4.86206202,,,,,,,
0,,,,4.86206202,,,,,,,
0,,,,4.86206202,,,,,,,
0,,,,4.86206202,,,,,,,
0,,,,4.86206202,,,,,,,
0,,,,4.86206202,,,,,,,
0,,,,4.86206202,,,,,,,
0,,,,4.86206202,,,,,,,
0,,,,4.86206202,,,,,,,
0,,,,4.86206202,,,,,,,
0,,,,4.86206202,,,,,,,
0,,,,4.86206202,,,,,,,
0,,,,5.38593825,,,,,,,
0,,,,5.38593825,,,,,,,
0,,,,5.38593825,,,,,,,
0,,,,5.38593825,,,,,,,
0,,,,5.38593825,,,,,,,
0,,,,5.38593825,,,,,,,
0,,,,5.38593825,,,,,,,
0,,,,5.38593825,,,,,,,
0,,,,5.38593825,,,,,,,
0,,,,5.38593825,,,,,,,
0,,,,5.38593825,,,,,,,
0,,,,5.38593825,,,,,,,
0,,,,5.33222783,,,,,,,
0,,,,5.33222783,,,,,,,
0,,,,5.33222783,,,,,,,
0,,,,5.33222783,,,,,,,
0,,,,5.33222783,,,,,,,
0,,,,5.33222783,,,,,,,
0,,,,5.33222783,,,,,,,
0,,,,5.33222783,,,,,,,
0,,,,5.33222783,,,,,,,
0,,,,5.33222783,,,,,,,
0,,,,5.33222783,,,,,,,
0,,,,5.33222783,,,,,,,
0,,,,5.54168311,,,,,,,
0,,,,5.54168311,,,,,,,
0,,,,5.54168311,,,,,,,
0,,,,5.54168311,,,,,,,
0,,,,5.54168311,,,,,,,
0,,,,5.54168311,,,,,,,
0,,,,5.54168311,,,,,,,
0,,,,5.54168311,,,,,,,
0,,,,5.54168311,,,,,,,
0,,,,5.54168311,,,,,,,
0,,,,5.54168311,,,,,,,
0,,,,5.54168311,,,,,,,
15.62,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
55.65,,1910.9711,,,,,,,,,
24.29,,1910.9711,,,,,,,,,
12.37,,1910.9711,,,,,,,,,
9.11,,1910.9711,,,,,,,,,
7.92,,1910.9711,,,,,,,,,
7.64,,1910.9711,,,,,,,,,
6.46,,1910.9711,,,,,,,,,
4.23,,1910.9711,,,,,,,,,
2.97,,1910.9711,,,,,,,,,
2.93,,1910.9711,,,,,,,,,
0.53,,1910.9711,,,,,,,,,
0.37,,1910.9711,,,,,,,,,
63.01,,1898.6089,42.8,,,,,,,,
26.39,,1898.6089,42.8,,,,,,,,
14.2,,1898.6089,42.8,,,,,,,,
9.3,,1898.6089,42.8,,,,,,,,
8.89,,1898.6089,42.8,,,,,,,,
8.67,,1898.6089,42.8,,,,,,,,
7.66,,1898.6089,42.8,,,,,,,,
5.57,,1898.6089,42.8,,,,,,,,
4.37,,1898.6089,42.8,,,,,,,,
4.27,,1898.6089,42.8,,,,,,,,
0.33,,1898.6089,42.8,,,,,,,,
0.24,,1898.6089,42.8,,,,,,,,
54.08,,1886.3267,45.3,,,,,,,,
26.15,,1886.3267,45.3,,,,,,,,
14.14,,1886.3267,45.3,,,,,,,,
10.42,,1886.3267,45.3,,,,,,,,
9.54,,1886.3267,45.3,,,,,,,,
8.44,,1886.3267,45.3,,,,,,,,
7.27,,1886.3267,45.3,,,,,,,,
6.11,,1886.3267,45.3,,,,,,,,
4,,1886.3267,45.3,,,,,,,,
3.88,,1886.3267,45.3,,,,,,,,
0.48,,1886.3267,45.3,,,,,,,,
0.47,,1886.3267,45.3,,,,,,,,
55.1,,1874.1238,,,,,,,,,
26.46,,1874.1238,,,,,,,,,
13.62,,1874.1238,,,,,,,,,
10.13,,1874.1238,,,,,,,,,
9.66,,1874.1238,,,,,,,,,
9.45,,1874.1238,,,,,,,,,
8.36,,1874.1238,,,,,,,,,
5.64,,1874.1238,,,,,,,,,
4.11,,1874.1238,,,,,,,,,
2.74,,1874.1238,,,,,,,,,
0.62,,1874.1238,,,,,,,,,
0.35,,1874.1238,,,,,,,,,
52,,1862,,,,,,,,,
26.03,,1862,,,,,,,,,
12.97,,1862,,,,,,,,,
10.45,,1862,,,,,,,,,
9.58,,1862,,,,,,,,,
8.22,,1862,,,,,,,,,
7.22,,1862,,,,,,,,,
4.66,,1862,,,,,,,,,
3.71,,1862,,,,,,,,,
3.19,,1862,,,,,,,,,
0.55,,1862,,,,,,,,,
0.35,,1862,,,,,,,,,
54.97,,1850,,,,,,,,,
23.59,,1850,,,,,,,,,
12.13,,1850,,,,,,,,,
9.49,,1850,,,,,,,,,
7.92,,1850,,,,,,,,,
7.67,,1850,,,,,,,,,
6.6,,1850,,,,,,,,,
4.5,,1850,,,,,,,,,
3.54,,1850,,,,,,,,,
3.38,,1850,,,,,,,,,
0.67,,1850,,,,,,,,,
0.44,,1850,,,,,,,,,
46.46,5.44,1837.9608,46.8,,,12.00990963,36748,243419,95506,9345,406378
21.08,5.44,1837.9608,46.8,,,12.00990963,194332,1457815,136514,76814,2060423
11.12,5.44,1837.9608,46.8,,,12.00990963,376880,2477306,40016,130527,3567831
9.4,5.44,1837.9608,46.8,,,12.00990963,656183,1164459,3665,46443,2231492
7.6,5.44,1837.9608,46.8,,,12.00990963,74766,110816,451171,8795,661641
6.74,5.44,1837.9608,46.8,,,12.00990963,228351,1219479,726047,99740,2431253
6.54,5.44,1837.9608,46.8,,,12.00990963,2277568,185158,1501,9886,2628167
3.6,5.44,1837.9608,46.8,,,12.00990963,346113,2438881,172201,212803,3694764
3.33,5.44,1837.9608,46.8,,,12.00990963,470804,1345792,12411,83445,2286931
2.27,5.44,1837.9608,46.8,,,12.00990963,1928404,437632,3670,27171,2667965
0.83,5.44,1837.9608,46.8,,,12.00990963,,,,,
0.27,5.44,1837.9608,46.8,,,12.00990963,,,,,
47.91,6.36,1826,45.5,,,,,,,,
23.25,6.36,1826,45.5,,,,,,,,
13.49,6.36,1826,45.5,,,,,,,,
9.84,6.36,1826,45.5,,,,,,,,
8.79,6.36,1826,45.5,,,,,,,,
6.78,6.36,1826,45.5,,,,,,,,
5.79,6.36,1826,45.5,,,,,,,,
3.73,6.36,1826,45.5,,,,,,,,
3.39,6.36,1826,45.5,,,,,,,,
2.84,6.36,1826,45.5,,,,,,,,
0.65,6.36,1826,45.5,,,,,,,,
0.4,6.36,1826,45.5,,,,,,,,
55.37,10.1,1850.3378,44.9,,,,,,,,
23.95,10.1,1850.3378,44.9,,,,,,,,
13.48,10.1,1850.3378,44.9,,,,,,,,
9.97,10.1,1850.3378,44.9,,,,,,,,
8.3,10.1,1850.3378,44.9,,,,,,,,
